
戏曲频道,#genre# 
抗战经典,http://150.158.112.123/php/yy.php?id=1382824983
天龙八部,http://150.158.112.123/php/yy.php?id=1351814644
【战狼4】吴京老师,http://150.158.112.123/php/yy.php?id=1354784284
地下交通站,http://150.158.112.123/php/yy.php?id=1382736795
恐怖电影,http://150.158.112.123/php/yy.php?id=24066336
【少年歌行】,http://150.158.112.123/php/yy.php?id=1354806550
摸金 盗暮,http://150.158.112.123/php/yy.php?id=1459714870
【动漫】斗罗斗破,http://150.158.112.123/php/yy.php?id=1353098382
二号交通站,http://150.158.112.123/php/yy.php?id=1382735582
笑傲江湖,http://150.158.112.123/php/yy.php?id=1354930909
小甜甜 闯关东,http://150.158.112.123/php/yy.php?id=1382658790
二龙湖浩哥【经典搞笑】,http://150.158.112.123/php/yy.php?id=28205255
纪晓岚,http://150.158.112.123/php/yy.php?id=1382781415
林正英经典,http://150.158.112.123/php/yy.php?id=1353312849
赵本山《超清版》,http://150.158.112.123/php/yy.php?id=1382683959
【成龙经典】动作,http://150.158.112.123/php/yy.php?id=34460526
港片赌片 3000部,http://150.158.112.123/php/yy.php?id=1355076627
超级吓人鬼片 恐怖片,http://150.158.112.123/php/yy.php?id=1355641195
天龙神雕经典回忆,http://150.158.112.123/php/yy.php?id=68260522
薛元帅传奇,http://150.158.112.123/php/yy.php?id=31313785
笑傲江湖 4K超清,http://150.158.112.123/php/yy.php?id=1354282410
喜欢的小哥哥点点关注,http://150.158.112.123/php/yy.php?id=98544634
狄仁杰等你哦,http://150.158.112.123/php/yy.php?id=1457579747
港片鬼片全集,http://150.158.112.123/php/yy.php?id=1459869766
好先生,http://150.158.112.123/php/yy.php?id=79382500
神探狄仁杰,http://150.158.112.123/php/yy.php?id=38338029
【港台】鬼片 惊悚 喜剧,http://150.158.112.123/php/yy.php?id=1351030377
燕双鹰专场,http://150.158.112.123/php/yy.php?id=23026835
战狼4 吴京首播,http://150.158.112.123/php/yy.php?id=1354784966
新三国,http://150.158.112.123/php/yy.php?id=26744898
军旅电视剧,http://150.158.112.123/php/yy.php?id=1352575322
【新三国】萌儿陪看,http://150.158.112.123/php/yy.php?id=29216766
【新三国】蓝光版,http://150.158.112.123/php/yy.php?id=1382705738
港片 恐怖片 鬼片,http://150.158.112.123/php/yy.php?id=1353850051
燕双鹰,http://150.158.112.123/php/yy.php?id=1354143942
进来 陪你看动漫,http://150.158.112.123/php/yy.php?id=1352866135
【金超群】电视剧,http://150.158.112.123/php/yy.php?id=1356158015
24H国漫热播,http://150.158.112.123/php/yy.php?id=1353937086
热度榜1.包青天,http://150.158.112.123/php/yy.php?id=22701868
德爷单挑荒野,http://150.158.112.123/php/yy.php?id=27772604
盗暮 老九门,http://150.158.112.123/php/yy.php?id=1382763739
荒野求生德爷,http://150.158.112.123/php/yy.php?id=36949900
电影 古惑仔全集,http://150.158.112.123/php/yy.php?id=1354507447
我和僵尸有个约会,http://150.158.112.123/php/yy.php?id=1354143966
雪中悍刀行,http://150.158.112.123/php/yy.php?id=1382660835
斗破苍穹斗罗大玄幻修仙剧,http://150.158.112.123/php/yy.php?id=1356051105
燕双鹰,http://150.158.112.123/php/yy.php?id=1352227153
皮蛋影视 正在直播,http://150.158.112.123/php/yy.php?id=23055599
狂飙,http://150.158.112.123/php/yy.php?id=1355142167
特一营,http://150.158.112.123/php/yy.php?id=1507704566
少年包青天,http://150.158.112.123/php/yy.php?id=1356043677
鹊刀门传奇,http://150.158.112.123/php/yy.php?id=1382745997
案发现场（1-3）,http://150.158.112.123/php/yy.php?id=31368110
新水浒传,http://150.158.112.123/php/yy.php?id=1353215589
神雕侠侣,http://150.158.112.123/php/yy.php?id=1351762426
武林外传,http://150.158.112.123/php/yy.php?id=1353852605
精彩动漫斗罗斗破,http://150.158.112.123/php/yy.php?id=76101626
【港片】赌片 动作,http://150.158.112.123/php/yy.php?id=24921161
封神榜,http://150.158.112.123/php/yy.php?id=1382797534
康熙微服私访记,http://150.158.112.123/php/yy.php?id=1352811698
奇缘39262港台影院,http://150.158.112.123/php/yy.php?id=1354889234
新白娘子传奇,http://150.158.112.123/php/yy.php?id=1354490667
狂飙,http://150.158.112.123/php/yy.php?id=1382764587
花千骨,http://150.158.112.123/php/yy.php?id=1354943110
雪中悍刀行,http://150.158.112.123/php/yy.php?id=59719179
神探狄仁杰,http://150.158.112.123/php/yy.php?id=1351755386
小宝 天龙 神雕金庸,http://150.158.112.123/php/yy.php?id=1356043609
电影电影,http://150.158.112.123/php/yy.php?id=1458819360
斗罗斗破动漫,http://150.158.112.123/php/yy.php?id=1420843376
新主播，求照顾,http://150.158.112.123/php/yy.php?id=29197808
【胡歌好剧】 ~,http://150.158.112.123/php/yy.php?id=29067083
林正英全集,http://150.158.112.123/php/yy.php?id=1335509613
神医喜来乐,http://150.158.112.123/php/yy.php?id=1382714119
24【动漫】正在直播,http://150.158.112.123/php/yy.php?id=1350984033
【破案 悬疑 港剧】,http://150.158.112.123/php/yy.php?id=1382800083
泡芙陪你看电影,http://150.158.112.123/php/yy.php?id=24407222
雍正王朝,http://150.158.112.123/php/yy.php?id=23206872
经典动漫,http://150.158.112.123/php/yy.php?id=22777075
林正英 僵尸 鬼片,http://150.158.112.123/php/yy.php?id=1351505899
交友林正英女鬼电影,http://150.158.112.123/php/yy.php?id=1453996620
弹幕天团 下饭神剧,http://150.158.112.123/php/yy.php?id=23512910
雍正王朝,http://150.158.112.123/php/yy.php?id=1356043620
港片经典电影,http://150.158.112.123/php/yy.php?id=32326398
布丁-玄幻电影正在直播,http://150.158.112.123/php/yy.php?id=1455460998
鬼经典老片,http://150.158.112.123/php/yy.php?id=1463783198
狂飙老莫请你吃鱼,http://150.158.112.123/php/yy.php?id=1382881866
孙红雷高清频道,http://150.158.112.123/php/yy.php?id=1351059494
国漫 一起看正在直播,http://150.158.112.123/php/yy.php?id=1351417866
鬼片恐怖私人影院,http://150.158.112.123/php/yy.php?id=1354952229
鬼片 恐怖片,http://150.158.112.123/php/yy.php?id=1455891197
我的兄弟叫顺溜,http://150.158.112.123/php/yy.php?id=1459331991
你不知道的汽车冷知识,http://150.158.112.123/php/yy.php?id=1346966327
大家车言论,http://150.158.112.123/php/yy.php?id=1382570702
鬼怪恐怖惊辣,http://150.158.112.123/php/yy.php?id=1382748585
动漫,http://150.158.112.123/php/yy.php?id=23993334
特种兵系列,http://150.158.112.123/php/yy.php?id=1508456184
破案TVB港剧,http://150.158.112.123/php/yy.php?id=1354932707
雪中悍刀行,http://150.158.112.123/php/yy.php?id=1462996362
真实案件系列,http://150.158.112.123/php/yy.php?id=1382671124
【赌神片 动作片 港片】,http://150.158.112.123/php/yy.php?id=1355112116
【林正英】僵尸 鬼片,http://150.158.112.123/php/yy.php?id=30668277
鸡毛飞上天,http://150.158.112.123/php/yy.php?id=1461033197
武侠港片电影,http://150.158.112.123/php/yy.php?id=1451866697
雪中悍刀行,http://150.158.112.123/php/yy.php?id=1460836818
情满四合院-高分电视剧,http://150.158.112.123/php/yy.php?id=1382735541
惊恐盗暮鬼怪,http://150.158.112.123/php/yy.php?id=1382749525
神探狄仁杰2,http://150.158.112.123/php/yy.php?id=1382828767
澳门风云,http://150.158.112.123/php/yy.php?id=1459243913
西游记后传,http://150.158.112.123/php/yy.php?id=1382736846
欢乐集结号-每天笑不停,http://150.158.112.123/php/yy.php?id=1382741642
新白娘子传奇-女神赵雅芝,http://150.158.112.123/php/yy.php?id=1354930969
初恋脸,http://150.158.112.123/php/yy.php?id=1382851597
星爷经典-百看不厌,http://150.158.112.123/php/yy.php?id=1382736808
敢死队-精彩动作电影,http://150.158.112.123/php/yy.php?id=1382735573
杭小妞,http://150.158.112.123/php/yy.php?id=1382851590
电影百团大战,http://150.158.112.123/php/yy.php?id=1382736871
少年包青天第三部,http://150.158.112.123/php/yy.php?id=1382736814
情满四合院,http://150.158.112.123/php/yy.php?id=1382851524
贾玲春晚小品,http://150.158.112.123/php/yy.php?id=1382736720
都挺好-电视剧,http://150.158.112.123/php/yy.php?id=1382736892
炊事班的故事III,http://150.158.112.123/php/yy.php?id=1382736716
父母爱情,http://150.158.112.123/php/yy.php?id=1354926650
变形金刚,http://150.158.112.123/php/yy.php?id=1382736803
颜值永远在线,http://150.158.112.123/php/yy.php?id=1382851582
炊事班的故事II,http://150.158.112.123/php/yy.php?id=1382736885
【神雕侠侣】金庸经典,http://150.158.112.123/php/yy.php?id=1382704651
夏洛特烦恼-国内电影-喜剧,http://150.158.112.123/php/yy.php?id=1354936201
风筝,http://150.158.112.123/php/yy.php?id=1382828770
天道-9.2高分好剧,http://150.158.112.123/php/yy.php?id=1382735574
热血抗日电影,http://150.158.112.123/php/yy.php?id=1382749907
宋小宝春晚小品合集,http://150.158.112.123/php/yy.php?id=1382736866
寻秦记-穿越剧经典,http://150.158.112.123/php/yy.php?id=1382749900
震撼！国内功夫大片,http://150.158.112.123/php/yy.php?id=1382736902
血色浪漫,http://150.158.112.123/php/yy.php?id=1354926676
港片电影,http://150.158.112.123/php/yy.php?id=33897188
华子系列,http://150.158.112.123/php/yy.php?id=1354888726
同桌的你,http://150.158.112.123/php/yy.php?id=1382851477
经典港片电影,http://150.158.112.123/php/yy.php?id=1382793140
古惑仔全集,http://150.158.112.123/php/yy.php?id=1353426319
鹿鼎记-高清全集,http://150.158.112.123/php/yy.php?id=1382704650
西沙海底墓盗幕笔记,http://150.158.112.123/php/yy.php?id=1355171357
倚天屠龙记,http://150.158.112.123/php/yy.php?id=33300793
精彩玄幻电影,http://150.158.112.123/php/yy.php?id=1382688400
【动漫】斗罗斗破超清全屏,http://150.158.112.123/php/yy.php?id=28796627
香港经典蓝光电影,http://150.158.112.123/php/yy.php?id=1382627144
【经典港片】佟瑶,http://150.158.112.123/php/yy.php?id=23531261
2024盗幕鬼怪,http://150.158.112.123/php/yy.php?id=1355171231
【电影】超然巨作,http://150.158.112.123/php/yy.php?id=29170933
三国演义,http://150.158.112.123/php/yy.php?id=32788000
纪晓岚,http://150.158.112.123/php/yy.php?id=22982216
绝版鬼片电影,http://150.158.112.123/php/yy.php?id=1382743247
破案港剧,http://150.158.112.123/php/yy.php?id=1350670730
斗罗斗破精彩动漫,http://150.158.112.123/php/yy.php?id=1507304388
24小时陪你看,http://150.158.112.123/php/yy.php?id=1331686180
【电影】顶级动作电影,http://150.158.112.123/php/yy.php?id=24923327
【动漫】斗罗斗破超清全屏,http://150.158.112.123/php/yy.php?id=1382689904
国漫动漫,http://150.158.112.123/php/yy.php?id=1354768828
开饭了大熊猫,http://150.158.112.123/php/yy.php?id=1382741641
盗暮惊悚妖魔,http://150.158.112.123/php/yy.php?id=1382765507
《武林外传》武侠,http://150.158.112.123/php/yy.php?id=1394000563
战狼7吴京退役,http://150.158.112.123/php/yy.php?id=1382773714
探案！探案！,http://150.158.112.123/php/yy.php?id=1382829413
经典动漫,http://150.158.112.123/php/yy.php?id=24180320
【电影】超然巨作,http://150.158.112.123/php/yy.php?id=26623173
【没病走两步】,http://150.158.112.123/php/yy.php?id=1382851464
公主陪看老酒馆,http://150.158.112.123/php/yy.php?id=1356254650
神雕侠侣,http://150.158.112.123/php/yy.php?id=1460913377
新主播，求照顾,http://150.158.112.123/php/yy.php?id=1382690406
彭禺厶鬼怪奇幻系列电影,http://150.158.112.123/php/yy.php?id=1355249116
影视剧场,http://150.158.112.123/php/yy.php?id=1355260855
少年包青天,http://150.158.112.123/php/yy.php?id=1382701828
【科幻】超炫特效,http://150.158.112.123/php/yy.php?id=37988782
24小时循环播电视剧,http://150.158.112.123/php/yy.php?id=53320802
【电视剧】天下第一,http://150.158.112.123/php/yy.php?id=1354780649
M恐怖片正在直播,http://150.158.112.123/php/yy.php?id=1352956876
【陪你看】金刚葫芦娃,http://150.158.112.123/php/yy.php?id=1353323999
少年包青天三,http://150.158.112.123/php/yy.php?id=61318527
笑声传奇,http://150.158.112.123/php/yy.php?id=1382736880
放羊的星星,http://150.158.112.123/php/yy.php?id=1355260662
24H地下交通站全,http://150.158.112.123/php/yy.php?id=37880083
奇领 铁山靠【Y 正在直播,http://150.158.112.123/php/yy.php?id=41584371
【周星驰】搞笑电影,http://150.158.112.123/php/yy.php?id=38670875
国内喜剧,http://150.158.112.123/php/yy.php?id=1382735563
你最爱的宋小宝,http://150.158.112.123/php/yy.php?id=1354936198
飞哥全集乐乐陪看】,http://150.158.112.123/php/yy.php?id=1352946111
爆笑小品,http://150.158.112.123/php/yy.php?id=1354931503
欧美惊悚,http://150.158.112.123/php/yy.php?id=1382656234
动漫奥斯卡正在直播,http://150.158.112.123/php/yy.php?id=1382626335
动漫,http://150.158.112.123/php/yy.php?id=26664495
经典电视剧联播,http://150.158.112.123/php/yy.php?id=1356338181
动漫,http://150.158.112.123/php/yy.php?id=1382747970
【电视剧】士兵突击,http://150.158.112.123/php/yy.php?id=22852190
士兵突击电视剧,http://150.158.112.123/php/yy.php?id=1456622512
燃爆动作片,http://150.158.112.123/php/yy.php?id=1382736801
神探狄仁杰1,http://150.158.112.123/php/yy.php?id=1382851575
野山鹰-影视剧,http://150.158.112.123/php/yy.php?id=1354932395
欢乐集结号,http://150.158.112.123/php/yy.php?id=1354931582
神探狄仁杰2,http://150.158.112.123/php/yy.php?id=1382851146
天下第一,http://150.158.112.123/php/yy.php?id=1382736838
小宝让你乐翻天：6到9集,http://150.158.112.123/php/yy.php?id=1354930971
父母爱情,http://150.158.112.123/php/yy.php?id=1382746276
魔幻手机,http://150.158.112.123/php/yy.php?id=1382851541
小兵张嘎,http://150.158.112.123/php/yy.php?id=1354930225
我的体育老师,http://150.158.112.123/php/yy.php?id=1382745169
欢乐颂,http://150.158.112.123/php/yy.php?id=1382851577
小惠_郭德纲相声迷,http://150.158.112.123/php/yy.php?id=1382851593
武林外传,http://150.158.112.123/php/yy.php?id=1454629602
萌萌爱追剧,http://150.158.112.123/php/yy.php?id=1382745093
小敏,http://150.158.112.123/php/yy.php?id=1382736890
成龙系列,http://150.158.112.123/php/yy.php?id=1354888751
速度与激情系列！-精彩大片,http://150.158.112.123/php/yy.php?id=1382736911
经典抗日电影,http://150.158.112.123/php/yy.php?id=1354936141
读心神探,http://150.158.112.123/php/yy.php?id=1382736875
神探狄仁杰1,http://150.158.112.123/php/yy.php?id=1354930934
纯纯纯儿,http://150.158.112.123/php/yy.php?id=1382851589
